Group, Name, Version
kdiagram5,kdiagram5,2.8.0-1
kdialog,kdialog,23.08.4-1
kdiamond,kdiamond,23.08.4-1
kdnssd,kdnssd,6.4.0-1
kdnssd5,kdnssd5,5.115.0-1
kdoctools,kdoctools,6.4.0-1
kdoctools5,kdoctools5,5.115.0-1
kdsoap,kdsoap-qt5,2.2.0-1
kdsoap,kdsoap-qt6,2.2.0-1
kdsoap,kdsoap-ws-discovery-client,0.3.0-2
keditbookmarks,keditbookmarks,23.08.4-1
keepassxc,keepassxc,2.7.6-2
kemoticons,kemoticons,5.115.0-1
keysmith,keysmith,23.08.4-1
keyutils,keyutils,1.6.3-2
kfilemetadata,kfilemetadata,6.4.0-1
kfilemetadata5,kfilemetadata5,5.115.0-1
kfind,kfind,23.08.4-1
kfourinline,kfourinline,23.08.4-1
kgamma,kgamma,5.27.10-2
kgeography,kgeography,23.08.4-1
kget,kget,23.08.4-1
kglobalaccel,kglobalaccel,6.4.0-1
kglobalaccel5,kglobalaccel5,5.115.0-1
kgoldrunner,kgoldrunner,23.08.4-1
kgpg,kgpg,23.08.4-1
kgraphviewer,kgraphviewer,2.4.3-5
kguiaddons5,kguiaddons5,5.115.0-1
khangman,khangman,23.08.4-1
khealthcertificate,khealthcertificate,23.01.0-2
khelpcenter,khelpcenter,23.08.4-1
kholidays,kholidays,1:6.4.0-1
kholidays5,kholidays5,1:5.115.0-1
khotkeys,khotkeys,5.27.10-1
khtml,khtml,5.115.0-1
ki18n,ki18n,6.4.0-1
ki18n5,ki18n5,5.115.1-1
kiconthemes,kiconthemes,6.4.0-1
kiconthemes5,kiconthemes5,5.115.0-1
kidentitymanagement,kidentitymanagement,23.08.4-1
kidletime,kidletime,6.4.0-1
kidletime5,kidletime5,5.115.0-1
kig,kig,23.08.4-1
kigo,kigo,23.08.4-1
killbots,killbots,23.08.4-1
kimageannotator,kimageannotator-qt5,0.7.0-2
kimageformats,kimageformats,6.4.0-2
kimagemapeditor,kimagemapeditor,23.08.4-1
kimap,kimap,23.08.4-1
kinfocenter,kinfocenter,5.27.10-1
kinit,kinit,5.115.0-1
kio,kio,6.4.1-1
kio,kio-admin,23.08.4-1
kio,kio-extras,23.08.4-2
kio,kio-fuse,5.1.0-1
kio,kio-gdrive,23.08.4-1
kio,kio-zeroconf,23.08.4-1
kio5,kio5,5.115.0-1
kirigami,kirigami,6.4.0-2
kirigami,kirigami-addons,1.4.0-1
kirigami,kirigami-addons5,0.11.0-7
kirigami,kirigami-gallery,23.08.4-1
kirigami2,kirigami2,5.115.0-1
kiriki,kiriki,23.08.4-1
kitemmodels,kitemmodels,6.4.0-1
kitemmodels5,kitemmodels5,5.115.0-1
kitemviews,kitemviews,6.4.0-1
kitemviews5,kitemviews5,5.115.0-1
kiten,kiten,23.08.4-1
kitinerary,kitinerary,23.08.4-1
kjobwidgets,kjobwidgets,6.4.0-1
kjobwidgets5,kjobwidgets5,5.115.0-1
kjournald,kjournald,23.08.4-1
kjs,kjs,5.115.0-1
kjumpingcube,kjumpingcube,23.08.4-1
kldap,kldap,23.08.4-1
kleopatra,kleopatra,23.08.4-1
klettres,klettres,23.08.4-1
klickety,klickety,23.08.4-1
klines,klines,23.08.4-1
kmag,kmag,23.08.4-1
kmahjongg,kmahjongg,23.08.4-1
kmail,kmail,23.08.4-1
kmail,kmail-account-wizard,23.08.4-1
kmailtransport,kmailtransport,23.08.4-1
kmbox,kmbox,23.08.4-1
kmenuedit,kmenuedit,5.27.10-1
kmime,kmime,23.08.4-1
kmines,kmines,23.08.4-1
kmix,kmix,23.08.4-1
kmod,kmod,31-1
kmousetool,kmousetool,23.08.4-1
kmouth,kmouth,23.08.4-1
kmplot,kmplot,23.08.4-1
knavalbattle,knavalbattle,23.08.4-1
knetwalk,knetwalk,23.08.4-1
knewstuff,knewstuff,6.4.0-1
knewstuff5,knewstuff5,5.115.0-1
knights,knights,23.08.4-1
knotes,knotes,23.08.4-1
knotifications,knotifications,6.4.0-1
knotifications5,knotifications5,5.115.0-1
knotifyconfig,knotifyconfig,6.4.0-1
knotifyconfig5,knotifyconfig5,5.115.0-1
koko,koko,23.08.4-1
kolf,kolf,23.08.4-1
kollision,kollision,23.08.4-1
kolourpaint,kolourpaint,23.08.4-1
kompare,kompare,23.08.4-1
kongress,kongress,23.08.4-1
konqueror,konqueror,23.08.4-1
konquest,konquest,23.08.4-1
konsole,konsole,23.08.4-2
kontact,kontact,23.08.4-1
